Ford Motor Company;F;Estados Unidos
Fortinet;FTNT;Estados Unidos
Fortive;FTV;Estados Unidos
Fox Corporation (Class A);FOXA;Estados Unidos
Fox Corporation (Class B);FOX;Estados Unidos
Franklin Resources;BEN;Estados Unidos
Freeport-McMoRan;FCX;Estados Unidos
Garmin;GRMN;Estados Unidos
Gartner;IT;Estados Unidos
GE Aerospace;GE;Estados Unidos
GE HealthCare;GEHC;Estados Unidos
GE Vernova;GEV;Estados Unidos
Gen Digital;GEN;Estados Unidos
Generac;GNRC;Estados Unidos
General Dynamics;GD;Estados Unidos
General Mills;GIS;Estados Unidos
General Motors;GM;Estados Unidos
Genuine Parts Company;GPC;Estados Unidos
Gilead Sciences;GILD;Estados Unidos
Global Payments;GPN;Estados Unidos
Globe Life;GL;Estados Unidos
GoDaddy;GDDY;Estados Unidos
Goldman Sachs;GS;Estados Unidos
Halliburton;HAL;Estados Unidos
Hartford (The);HIG;Estados Unidos
Hasbro;HAS;Estados Unidos
HCA Healthcare;HCA;Estados Unidos
Healthpeak Properties;DOC;Estados Unidos
Henry Schein;HSIC;Estados Unidos
Hershey Company (The);HSY;Estados Unidos
Hess Corporation;HES;Estados Unidos
Hewlett Packard Enterprise;HPE;Estados Unidos
Hilton Worldwide;HLT;Estados Unidos
Hologic;HOLX;Estados Unidos
Hormel Foods;HRL;Estados Unidos
Host Hotels & Resorts;HST;Estados Unidos
Howmet Aerospace;HWM;Estados Unidos
HP Inc.;HPQ;Estados Unidos
Hubbell Incorporated;HUBB;Estados Unidos
Humana;HUM;Estados Unidos
Huntington Bancshares;HBAN;Estados Unidos
Huntington Ingalls Industries;HII;Estados Unidos
IBM;IBM;Estados Unidos
IDEX Corporation;IEX;Estados Unidos
Idexx Laboratories;IDXX;Estados Unidos
Illinois Tool Works;ITW;Estados Unidos
Incyte;INCY;Estados Unidos
Ingersoll Rand;IR;Estados Unidos
Insulet Corporation;PODD;Estados Unidos
Intercontinental Exchange;ICE;Estados Unidos
International Flavors & Fragrances;IFF;Estados Unidos
International Paper;IP;Estados Unidos
Interpublic Group of Companies (The);IPG;Estados Unidos
Intuit;INTU;Estados Unidos
Intuitive Surgical;ISRG;Estados Unidos
Invesco;IVZ;Estados Unidos
Invitation Homes;INVH;Estados Unidos
IQVIA;IQV;Estados Unidos
Iron Mountain;IRM;Estados Unidos
J.B. Hunt;JBHT;Estados Unidos
Jabil;JBL;Estados Unidos
Jack Henry & Associates;JKHY;Estados Unidos
Jacobs Solutions;J;Estados Unidos
Johnson Controls;JCI;Estados Unidos
Juniper Networks;JNPR;Estados Unidos
Kellanova;K;Estados Unidos
Kenvue;KVUE;Estados Unidos
Keurig Dr Pepper;KDP;Estados Unidos
KeyCorp;KEY;Estados Unidos
Keysight Technologies;KEYS;Estados Unidos
Kimberly-Clark;KMB;Estados Unidos
Kimco Realty;KIM;Estados Unidos
Kinder Morgan;KMI;Estados Unidos
KKR;KKR;Estados Unidos
KLA Corporation;KLAC;Estados Unidos
Kraft Heinz;KHC;Estados Unidos
Kroger;KR;Estados Unidos
L3Harris;LHX;Estados Unidos
LabCorp;LH;Estados Unidos
Lam Research;LRCX;Estados Unidos
Lamb Weston;LW;Estados Unidos
Las Vegas Sands;LVS;Estados Unidos
Leidos;LDOS;Estados Unidos
Lennar;LEN;Estados Unidos
Lennox International;LII;Estados Unidos
Linde plc;LIN;Estados Unidos
Live Nation Entertainment;LYV;Estados Unidos
LKQ Corporation;LKQ;Estados Unidos
Lockheed Martin;LMT;Estados Unidos
Loews Corporation;L;Estados Unidos
Lowe's;LOW;Estados Unidos
Lululemon Athletica;LULU;Estados Unidos
LyondellBasell;LYB;Estados Unidos
M&T Bank;MTB;Estados Unidos
Marathon Petroleum;MPC;Estados Unidos
MarketAxess;MKTX;Estados Unidos
Marriott International;MAR;Estados Unidos
Marsh McLennan;MMC;Estados Unidos
Martin Marietta Materials;MLM;Estados Unidos
Masco;MAS;Estados Unidos
Match Group;MTCH;Estados Unidos
McCormick & Company;MKC;Estados Unidos
McKesson Corporation;MCK;Estados Unidos
MetLife;MET;Estados Unidos
Mettler Toledo;MTD;Estados Unidos
MGM Resorts;MGM;Estados Unidos
Microchip Technology;MCHP;Estados Unidos
Micron Technology;MU;Estados Unidos
Mid-America Apartment Communities;MAA;Estados Unidos
Moderna;MRNA;Estados Unidos
Mohawk Industries;MHK;Estados Unidos
Molina Healthcare;MOH;Estados Unidos
